2713049,5996,0.956
3114167,5666,0.677
3115833,5995,0.847
3246984,5735,0.973
3342970,6167,1.064
3351888,5717,1.057
3453214,5733,0.77
3641726,5349,0.82
3832474,5485,0.867
3935914,5934,0.893
3940418,5170,0.807
4049131,4905,0.761
4139816,3887,0.48
4275191,5557,0.781
4476123,5413,0.751
5358241,6079,0.945
5358624,5071,0.788
5456651,4980,0.734
6862328,5796,0.871
6922244,6225,1.451
8395660,5881,1.029
9579641,6391,1.332
10187017,4812,0.755
10480982,6117,0.947
10526549,4856,0.696
10583066,4536,0.693
10601284,5559,0.806
10662202,4722,0.527
10666592,6350,1.991
10682541,5339,0.847
10797460,5850,1.04
10811496,5853,0.868
10848459,5795,0.803
10854555,6031,1.046
10872983,6046,0.972
10875245,5851,1.411
10910878,5126,0.742
10984090,5803,1.073
10987985,5015,0.826
11018648,5588,0.796
11138155,6117,1.025
11153539,6075,0.969
11304958,5468,1.046
11391957,5592,0.782
11403044,6174,1.103
11414511,5653,0.965
11460018,5641,0.831
11465813,5520,0.983
11493732,6144,1.091
11507101,5957,0.971
11754553,3898,0.54
11812062,5492,0.812
11818800,5446,0.781
11853255,3741,0.45
11904151,5627,1.056
11918099,4989,0.727
11923270,3672,0.49
11960862,5992,0.989
12020329,5485,0.867
12066335,3767,0.48
12070811,5557,0.752
12110942,5880,0.917
12366084,5841,0.931
12404086,5127,0.775
12470844,5354,0.788
12644822,5795,0.919
