11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613385,12.85,1344
11904151,K00072.01,Kepler-10 b,CONFIRMED,0.837491331,1.45,1968
10419211,K00742.01,,FALSE POSITIVE,11.52144611,297.97,754
8395660,K00116.01,Kepler-106 c,CONFIRMED,13.57076622,2.35,796
11754553,K00775.03,Kepler-52 d,CONFIRMED,36.4451982,1.8,300
3832474,K00806.02,Kepler-30 c,CONFIRMED,60.32488611,12.88,411
3940418,K00810.01,,CANDIDATE,4.78300451,2.76,886
5456651,K00835.01,Kepler-239 b,CONFIRMED,11.76305946,2.36,614
5456651,K00835.02,Kepler-239 c,CONFIRMED,56.2279697,2.19,365
6862328,K00865.01,,CANDIDATE,119.0206251,7.58,348
10187017,K00082.05,Kepler-102 b,CONFIRMED,5.28695437,0.49,797
10187017,K00082.04,Kepler-102 c,CONFIRMED,7.07136076,0.58,723
